full_name,short_name,nodes,edges,execution_paths,runtime,Model D RBO,HARM RBO
org.testingisdocumenting.webtau.webtau-http-1.22-SNAPSHOT-reduced.json,webtau-http,230,970,6,0.17489807300444227,1.0,1.0
org.testingisdocumenting.webtau.webtau-http-1.22-SNAPSHOT-reduced.json,webtau-http,240,1045,6,0.17728241499571595,1.0,1.0
org.testingisdocumenting.webtau.webtau-http-1.22-SNAPSHOT-reduced.json,webtau-http,250,1129,6,0.17957383199973265,1.0,1.0
org.testingisdocumenting.webtau.webtau-utils-1.22-SNAPSHOT-reduced.json,webtau-utils,10,4,6,0.7057761870019021,1.0,1.0
org.testingisdocumenting.webtau.webtau-utils-1.22-SNAPSHOT-reduced.json,webtau-utils,20,20,6,0.14315837799949804,1.0,1.0
org.testingisdocumenting.webtau.webtau-utils-1.22-SNAPSHOT-reduced.json,webtau-utils,30,42,6,0.14610094600357115,1.0,1.0
org.testingisdocumenting.webtau.webtau-utils-1.22-SNAPSHOT-reduced.json,webtau-utils,40,55,6,0.1522252560025663,1.0,1.0
org.testingisdocumenting.webtau.webtau-utils-1.22-SNAPSHOT-reduced.json,webtau-utils,50,69,6,0.1545358080038568,1.0,1.0
org.testingisdocumenting.webtau.webtau-utils-1.22-SNAPSHOT-reduced.json,webtau-utils,60,89,6,0.1573831630012137,1.0,1.0
org.testingisdocumenting.webtau.webtau-utils-1.22-SNAPSHOT-reduced.json,webtau-utils,70,110,6,0.15577528099674964,1.0,1.0
org.testingisdocumenting.webtau.webtau-utils-1.22-SNAPSHOT-reduced.json,webtau-utils,80,131,6,0.15789659700385528,1.0,1.0
org.testingisdocumenting.webtau.webtau-utils-1.22-SNAPSHOT-reduced.json,webtau-utils,90,150,6,0.15512572599982377,1.0,1.0
org.testingisdocumenting.webtau.webtau-utils-1.22-SNAPSHOT-reduced.json,webtau-utils,100,172,6,0.15659950700501213,1.0,1.0
org.testingisdocumenting.webtau.webtau-utils-1.22-SNAPSHOT-reduced.json,webtau-utils,110,221,6,0.1585828270035563,1.0,1.0
org.testingisdocumenting.webtau.webtau-utils-1.22-SNAPSHOT-reduced.json,webtau-utils,120,238,6,0.15991147499880753,1.0,1.0
org.testingisdocumenting.webtau.webtau-utils-1.22-SNAPSHOT-reduced.json,webtau-utils,130,260,6,0.15705886600335361,1.0,1.0
org.testingisdocumenting.webtau.webtau-utils-1.22-SNAPSHOT-reduced.json,webtau-utils,140,287,6,0.15827607300161617,1.0,1.0
org.testingisdocumenting.webtau.webtau-utils-1.22-SNAPSHOT-reduced.json,webtau-utils,150,316,6,0.15940780300297774,1.0,1.0
org.testingisdocumenting.webtau.webtau-utils-1.22-SNAPSHOT-reduced.json,webtau-utils,160,352,6,0.16039772100339178,1.0,1.0
org.testingisdocumenting.webtau.webtau-utils-1.22-SNAPSHOT-reduced.json,webtau-utils,170,455,6,0.1622775160067249,1.0,1.0
org.testingisdocumenting.webtau.webtau-utils-1.22-SNAPSHOT-reduced.json,webtau-utils,180,566,6,0.16444207599852234,1.0,1.0
org.testingisdocumenting.webtau.webtau-utils-1.22-SNAPSHOT-reduced.json,webtau-utils,190,710,6,0.16752372199698584,1.0,1.0
org.testingisdocumenting.webtau.webtau-utils-1.22-SNAPSHOT-reduced.json,webtau-utils,200,805,6,0.16915436700219288,1.0,1.0
org.testingisdocumenting.webtau.webtau-utils-1.22-SNAPSHOT-reduced.json,webtau-utils,210,945,6,0.17150314900209196,1.0,1.0
org.testingisdocumenting.webtau.webtau-utils-1.22-SNAPSHOT-reduced.json,webtau-utils,220,1086,6,0.17410744600056205,1.0,1.0
org.testingisdocumenting.webtau.webtau-utils-1.22-SNAPSHOT-reduced.json,webtau-utils,230,1282,6,0.17687280500103952,1.0,1.0
org.testingisdocumenting.webtau.webtau-utils-1.22-SNAPSHOT-reduced.json,webtau-utils,240,1343,6,0.17882843700499507,1.0,1.0
org.testingisdocumenting.webtau.webtau-utils-1.22-SNAPSHOT-reduced.json,webtau-utils,250,1405,6,0.1794597799962503,1.0,1.0
io.gazetteer.gazetteer-tiles-1.0-SNAPSHOT-reduced.json,gazetteer-tiles,10,11,3,0.7502252109989058,1.0,0.5154761904761904
io.gazetteer.gazetteer-tiles-1.0-SNAPSHOT-reduced.json,gazetteer-tiles,20,111,3,0.19202448100259062,1.0,0.5154761904761904
io.gazetteer.gazetteer-tiles-1.0-SNAPSHOT-reduced.json,gazetteer-tiles,30,271,3,0.22506087299552746,1.0,0.5154761904761904
io.gazetteer.gazetteer-tiles-1.0-SNAPSHOT-reduced.json,gazetteer-tiles,40,428,3,1.3578126760039595,1.0,0.5154761904761904
org.testingisdocumenting.webtau.webtau-report-1.22-SNAPSHOT-reduced.json,webtau-report,10,5,6,0.7119708719983464,1.0,1.0
org.testingisdocumenting.webtau.webtau-report-1.22-SNAPSHOT-reduced.json,webtau-report,20,28,6,0.14382757600105833,0.41666666666666663,0.41666666666666663
org.testingisdocumenting.webtau.webtau-report-1.22-SNAPSHOT-reduced.json,webtau-report,30,44,6,0.14619419299560832,0.41666666666666663,0.41666666666666663
org.testingisdocumenting.webtau.webtau-report-1.22-SNAPSHOT-reduced.json,webtau-report,40,88,6,0.1546510970001691,0.41666666666666663,0.41666666666666663
org.testingisdocumenting.webtau.webtau-report-1.22-SNAPSHOT-reduced.json,webtau-report,50,135,6,0.15769834400271066,0.41666666666666663,0.41666666666666663
org.testingisdocumenting.webtau.webtau-report-1.22-SNAPSHOT-reduced.json,webtau-report,60,209,6,0.16127123500336893,0.41666666666666663,0.41666666666666663
org.testingisdocumenting.webtau.webtau-report-1.22-SNAPSHOT-reduced.json,webtau-report,70,290,6,0.1600008160021389,0.41666666666666663,0.41666666666666663
org.testingisdocumenting.webtau.webtau-report-1.22-SNAPSHOT-reduced.json,webtau-report,80,366,6,0.16290958899480756,0.41666666666666663,0.41666666666666663
org.testingisdocumenting.webtau.webtau-report-1.22-SNAPSHOT-reduced.json,webtau-report,90,457,6,0.1613872710004216,0.41666666666666663,0.41666666666666663
org.testingisdocumenting.webtau.webtau-report-1.22-SNAPSHOT-reduced.json,webtau-report,100,533,6,0.1632762949957396,0.41666666666666663,0.41666666666666663
org.testingisdocumenting.webtau.webtau-report-1.22-SNAPSHOT-reduced.json,webtau-report,110,619,6,0.1654663770023035,0.41666666666666663,0.41666666666666663
org.testingisdocumenting.webtau.webtau-report-1.22-SNAPSHOT-reduced.json,webtau-report,120,702,6,0.16745401399384718,0.41666666666666663,0.41666666666666663
org.testingisdocumenting.webtau.webtau-report-1.22-SNAPSHOT-reduced.json,webtau-report,130,796,6,0.1658827669962193,0.41666666666666663,0.41666666666666663
org.testingisdocumenting.webtau.webtau-report-1.22-SNAPSHOT-reduced.json,webtau-report,140,894,6,0.16245634699589573,0.41666666666666663,0.41666666666666663
org.testingisdocumenting.webtau.webtau-report-1.22-SNAPSHOT-reduced.json,webtau-report,150,1074,6,0.17051026900298893,0.41666666666666663,0.41666666666666663
org.testingisdocumenting.webtau.webtau-report-1.22-SNAPSHOT-reduced.json,webtau-report,160,1133,6,0.17179302800650476,0.41666666666666663,0.41666666666666663
org.testingisdocumenting.webtau.webtau-report-1.22-SNAPSHOT-reduced.json,webtau-report,170,1375,6,0.17492982799740275,0.41666666666666663,0.41666666666666663
org.testingisdocumenting.webtau.webtau-report-1.22-SNAPSHOT-reduced.json,webtau-report,180,1683,6,0.17943574200035073,0.41666666666666663,0.41666666666666663
org.testingisdocumenting.webtau.webtau-report-1.22-SNAPSHOT-reduced.json,webtau-report,190,1731,6,0.18056347100355197,0.41666666666666663,0.41666666666666663
org.testingisdocumenting.webtau.webtau-report-1.22-SNAPSHOT-reduced.json,webtau-report,200,1798,6,0.21425832899694797,0.41666666666666663,0.41666666666666663
org.testingisdocumenting.webtau.webtau-report-1.22-SNAPSHOT-reduced.json,webtau-report,210,1825,6,0.183223405998433,0.41666666666666663,0.41666666666666663
org.testingisdocumenting.webtau.webtau-report-1.22-SNAPSHOT-reduced.json,webtau-report,220,1850,6,0.18356113399931928,1.0,1.0
org.testingisdocumenting.webtau.webtau-report-1.22-SNAPSHOT-reduced.json,webtau-report,230,1874,6,0.18340648400044302,1.0,1.0
org.testingisdocumenting.webtau.webtau-report-1.22-SNAPSHOT-reduced.json,webtau-report,240,1930,6,0.18555609000031836,1.0,1.0
org.testingisdocumenting.webtau.webtau-report-1.22-SNAPSHOT-reduced.json,webtau-report,250,1959,6,0.18653234200610314,1.0,1.0
org.testingisdocumenting.webtau.webtau-java-runner-1.22-SNAPSHOT-reduced.json,webtau-java-runner,10,8,6,0.7091138799951295,1.0,1.0
org.testingisdocumenting.webtau.webtau-java-runner-1.22-SNAPSHOT-reduced.json,webtau-java-runner,20,29,6,0.14413851700373925,1.0,1.0
org.testingisdocumenting.webtau.webtau-java-runner-1.22-SNAPSHOT-reduced.json,webtau-java-runner,30,42,6,0.14650370799790835,1.0,1.0
org.testingisdocumenting.webtau.webtau-java-runner-1.22-SNAPSHOT-reduced.json,webtau-java-runner,40,67,6,0.1541322159973788,1.0,1.0
org.testingisdocumenting.webtau.webtau-java-runner-1.22-SNAPSHOT-reduced.json,webtau-java-runner,50,95,6,0.15603385899885325,1.0,1.0
org.testingisdocumenting.webtau.webtau-java-runner-1.22-SNAPSHOT-reduced.json,webtau-java-runner,60,134,6,0.1583877860030043,1.0,1.0
org.testingisdocumenting.webtau.webtau-java-runner-1.22-SNAPSHOT-reduced.json,webtau-java-runner,70,197,6,0.15734625599725405,1.0,1.0
org.testingisdocumenting.webtau.webtau-java-runner-1.22-SNAPSHOT-reduced.json,webtau-java-runner,80,284,6,0.1594884660007665,1.0,1.0
org.testingisdocumenting.webtau.webtau-java-runner-1.22-SNAPSHOT-reduced.json,webtau-java-runner,90,318,6,0.15694058000372024,1.0,1.0
org.testingisdocumenting.webtau.webtau-java-runner-1.22-SNAPSHOT-reduced.json,webtau-java-runner,100,340,6,0.15866951600037282,1.0,1.0
org.testingisdocumenting.webtau.webtau-java-runner-1.22-SNAPSHOT-reduced.json,webtau-java-runner,110,359,6,0.16026514200348174,1.0,1.0
org.testingisdocumenting.webtau.webtau-java-runner-1.22-SNAPSHOT-reduced.json,webtau-java-runner,120,389,6,0.16131405399937648,1.0,1.0
org.testingisdocumenting.webtau.webtau-java-runner-1.22-SNAPSHOT-reduced.json,webtau-java-runner,130,424,6,0.15463332700164756,1.0,1.0
org.testingisdocumenting.webtau.webtau-java-runner-1.22-SNAPSHOT-reduced.json,webtau-java-runner,140,503,6,0.15980792099435348,1.0,1.0
org.testingisdocumenting.webtau.webtau-java-runner-1.22-SNAPSHOT-reduced.json,webtau-java-runner,150,600,6,0.16189884699997492,1.0,1.0
org.testingisdocumenting.webtau.webtau-java-runner-1.22-SNAPSHOT-reduced.json,webtau-java-runner,160,634,6,0.16287047900550533,1.0,1.0
org.testingisdocumenting.webtau.webtau-java-runner-1.22-SNAPSHOT-reduced.json,webtau-java-runner,170,753,6,0.16504703799728304,1.0,1.0
org.testingisdocumenting.webtau.webtau-java-runner-1.22-SNAPSHOT-reduced.json,webtau-java-runner,180,876,6,0.16698936899774708,1.0,1.0
org.testingisdocumenting.webtau.webtau-java-runner-1.22-SNAPSHOT-reduced.json,webtau-java-runner,190,996,6,0.169158172000607,1.0,1.0
org.testingisdocumenting.webtau.webtau-java-runner-1.22-SNAPSHOT-reduced.json,webtau-java-runner,200,1049,6,0.17003078400011873,1.0,1.0
org.testingisdocumenting.webtau.webtau-java-runner-1.22-SNAPSHOT-reduced.json,webtau-java-runner,210,1076,6,0.1714734370034421,1.0,1.0
org.testingisdocumenting.webtau.webtau-java-runner-1.22-SNAPSHOT-reduced.json,webtau-java-runner,220,1103,6,0.17251640300673898,1.0,1.0
org.testingisdocumenting.webtau.webtau-java-runner-1.22-SNAPSHOT-reduced.json,webtau-java-runner,230,1127,6,0.17318329199770233,1.0,1.0
org.testingisdocumenting.webtau.webtau-java-runner-1.22-SNAPSHOT-reduced.json,webtau-java-runner,240,1151,6,0.17563199700089172,0.41666666666666663,0.41666666666666663
org.testingisdocumenting.webtau.webtau-java-runner-1.22-SNAPSHOT-reduced.json,webtau-java-runner,250,1216,6,0.20908554500056198,0.41666666666666663,0.41666666666666663
org.testingisdocumenting.webtau.webtau-console-1.22-SNAPSHOT-reduced.json,webtau-console,10,6,6,0.6944671679957537,1.0,1.0
org.testingisdocumenting.webtau.webtau-console-1.22-SNAPSHOT-reduced.json,webtau-console,20,21,6,0.14561511999636423,1.0,1.0
org.testingisdocumenting.webtau.webtau-console-1.22-SNAPSHOT-reduced.json,webtau-console,30,37,6,0.14576447000581538,1.0,1.0
org.testingisdocumenting.webtau.webtau-console-1.22-SNAPSHOT-reduced.json,webtau-console,40,55,6,0.1523434230039129,1.0,1.0
org.testingisdocumenting.webtau.webtau-console-1.22-SNAPSHOT-reduced.json,webtau-console,50,177,6,0.15618543700111331,1.0,1.0
org.testingisdocumenting.webtau.webtau-console-1.22-SNAPSHOT-reduced.json,webtau-console,60,311,6,0.16054084099596366,1.0,1.0
org.testingisdocumenting.webtau.webtau-console-1.22-SNAPSHOT-reduced.json,webtau-console,70,408,6,0.16329561899328837,1.0,1.0
org.testingisdocumenting.webtau.webtau-console-1.22-SNAPSHOT-reduced.json,webtau-console,80,457,6,0.16932121800346067,1.0,1.0
org.testingisdocumenting.webtau.webtau-console-1.22-SNAPSHOT-reduced.json,webtau-console,90,492,6,0.16711207500338787,1.0,1.0
org.testingisdocumenting.webtau.webtau-console-1.22-SNAPSHOT-reduced.json,webtau-console,100,570,6,0.1697417840041453,1.0,1.0
org.testingisdocumenting.webtau.webtau-console-1.22-SNAPSHOT-reduced.json,webtau-console,110,655,6,0.1730270210027811,1.0,1.0
org.testingisdocumenting.webtau.webtau-console-1.22-SNAPSHOT-reduced.json,webtau-console,120,804,6,0.17838627400487894,1.0,1.0
org.testingisdocumenting.webtau.webtau-console-1.22-SNAPSHOT-reduced.json,webtau-console,130,924,6,0.17942434499855153,1.0,1.0
org.testingisdocumenting.webtau.webtau-console-1.22-SNAPSHOT-reduced.json,webtau-console,140,1030,6,0.18095683999854373,1.0,1.0
org.testingisdocumenting.webtau.webtau-console-1.22-SNAPSHOT-reduced.json,webtau-console,150,1122,6,0.18359275100374362,1.0,1.0
org.testingisdocumenting.webtau.webtau-console-1.22-SNAPSHOT-reduced.json,webtau-console,160,1328,6,0.18671511900174664,1.0,1.0
org.testingisdocumenting.webtau.webtau-console-1.22-SNAPSHOT-reduced.json,webtau-console,170,1543,6,0.1898986239975784,1.0,1.0
org.testingisdocumenting.webtau.webtau-console-1.22-SNAPSHOT-reduced.json,webtau-console,180,1834,6,0.1940449579997221,1.0,1.0
org.testingisdocumenting.webtau.webtau-console-1.22-SNAPSHOT-reduced.json,webtau-console,190,2200,6,0.19833161800488597,1.0,1.0
org.testingisdocumenting.webtau.webtau-console-1.22-SNAPSHOT-reduced.json,webtau-console,200,2603,6,0.20385697999881813,1.0,1.0
org.testingisdocumenting.webtau.webtau-console-1.22-SNAPSHOT-reduced.json,webtau-console,210,2930,6,0.21199055999750271,1.0,1.0
org.testingisdocumenting.webtau.webtau-console-1.22-SNAPSHOT-reduced.json,webtau-console,220,3215,6,0.2790801189985359,1.0,1.0
org.testingisdocumenting.webtau.webtau-console-1.22-SNAPSHOT-reduced.json,webtau-console,230,3546,6,0.7957622850008192,1.0,1.0
org.testingisdocumenting.webtau.webtau-console-1.22-SNAPSHOT-reduced.json,webtau-console,240,3885,6,19.080145128005825,1.0,1.0
org.testingisdocumenting.webtau.webtau-console-1.22-SNAPSHOT-reduced.json,webtau-console,250,4054,6,19.145300259006035,1.0,1.0
pl.edu.icm.unity.unity-types-api-3.3.0-SNAPSHOT-reduced.json,unity-types-api,10,9,3,0.7000936719996389,1.0,1.0
pl.edu.icm.unity.unity-types-api-3.3.0-SNAPSHOT-reduced.json,unity-types-api,20,19,3,0.1477537780010607,1.0,1.0
pl.edu.icm.unity.unity-types-api-3.3.0-SNAPSHOT-reduced.json,unity-types-api,30,32,3,0.1505000389952329,1.0,1.0
pl.edu.icm.unity.unity-types-api-3.3.0-SNAPSHOT-reduced.json,unity-types-api,40,46,3,0.15360940199752804,1.0,1.0
pl.edu.icm.unity.unity-types-api-3.3.0-SNAPSHOT-reduced.json,unity-types-api,50,60,3,0.15591649800626328,1.0,1.0
pl.edu.icm.unity.unity-types-api-3.3.0-SNAPSHOT-reduced.json,unity-types-api,60,93,3,0.15878056900692172,1.0,1.0
pl.edu.icm.unity.unity-types-api-3.3.0-SNAPSHOT-reduced.json,unity-types-api,70,110,3,0.15958763399976306,1.0,1.0
