project,nodes,edges,runtime,paths
org.testingisdocumenting.webtau.webtau-console-1.22-SNAPSHOT-reduced.json,130,655,0.03977629900327884,6
org.testingisdocumenting.webtau.webtau-console-1.22-SNAPSHOT-reduced.json,140,788,0.04140594901400618,6
org.testingisdocumenting.webtau.webtau-console-1.22-SNAPSHOT-reduced.json,150,988,0.04703809000784531,6
org.testingisdocumenting.webtau.webtau-console-1.22-SNAPSHOT-reduced.json,160,1171,0.049912508024135605,6
org.testingisdocumenting.webtau.webtau-console-1.22-SNAPSHOT-reduced.json,170,1348,0.06939691200386733,6
org.testingisdocumenting.webtau.webtau-console-1.22-SNAPSHOT-reduced.json,180,1509,0.07196873499196954,6
org.testingisdocumenting.webtau.webtau-console-1.22-SNAPSHOT-reduced.json,190,1738,0.11649800298619084,6
org.testingisdocumenting.webtau.webtau-console-1.22-SNAPSHOT-reduced.json,200,1861,0.08746222397894599,6
pl.edu.icm.unity.unity-types-api-3.3.0-SNAPSHOT-reduced.json,10,11,0.5932097359909676,3
pl.edu.icm.unity.unity-types-api-3.3.0-SNAPSHOT-reduced.json,20,22,0.024496383994119242,3
pl.edu.icm.unity.unity-types-api-3.3.0-SNAPSHOT-reduced.json,30,67,0.02877569099655375,3
pl.edu.icm.unity.unity-types-api-3.3.0-SNAPSHOT-reduced.json,40,92,0.03162924200296402,3
pl.edu.icm.unity.unity-types-api-3.3.0-SNAPSHOT-reduced.json,50,120,0.034566602000268176,3
pl.edu.icm.unity.unity-types-api-3.3.0-SNAPSHOT-reduced.json,60,149,0.03665633199852891,3
pl.edu.icm.unity.unity-types-api-3.3.0-SNAPSHOT-reduced.json,70,190,0.0352340980025474,3
pl.edu.icm.unity.unity-types-api-3.3.0-SNAPSHOT-reduced.json,80,253,0.03766726600588299,3
pl.edu.icm.unity.unity-types-api-3.3.0-SNAPSHOT-reduced.json,90,288,0.03925481700571254,3
pl.edu.icm.unity.unity-types-api-3.3.0-SNAPSHOT-reduced.json,100,324,0.040818518988089636,3
pl.edu.icm.unity.unity-types-api-3.3.0-SNAPSHOT-reduced.json,110,374,0.03846860898192972,3
pl.edu.icm.unity.unity-types-api-3.3.0-SNAPSHOT-reduced.json,120,398,0.03986362798605114,3
pl.edu.icm.unity.unity-types-api-3.3.0-SNAPSHOT-reduced.json,130,433,0.03699527902062982,3
pl.edu.icm.unity.unity-types-api-3.3.0-SNAPSHOT-reduced.json,140,459,0.041921717987861484,3
pl.edu.icm.unity.unity-types-api-3.3.0-SNAPSHOT-reduced.json,150,505,0.04318757899454795,3
pl.edu.icm.unity.unity-types-api-3.3.0-SNAPSHOT-reduced.json,160,534,0.04445051800576039,3
pl.edu.icm.unity.unity-types-api-3.3.0-SNAPSHOT-reduced.json,170,550,0.04539647200726904,3
pl.edu.icm.unity.unity-types-api-3.3.0-SNAPSHOT-reduced.json,180,594,0.04700101201888174,3
pl.edu.icm.unity.unity-types-api-3.3.0-SNAPSHOT-reduced.json,190,616,0.048081671993713826,3
pl.edu.icm.unity.unity-types-api-3.3.0-SNAPSHOT-reduced.json,200,668,0.04527225499623455,3
xyz.erupt.zeta-api-0.3.2-reduced.json,10,3,0.5972526879922953,13
xyz.erupt.zeta-api-0.3.2-reduced.json,20,18,0.025174470007186756,63
xyz.erupt.zeta-api-0.3.2-reduced.json,30,29,0.025441310979658738,63
xyz.erupt.zeta-api-0.3.2-reduced.json,40,40,0.0271858680061996,63
xyz.erupt.zeta-api-0.3.2-reduced.json,50,50,0.02820564401918091,63
xyz.erupt.zeta-api-0.3.2-reduced.json,60,69,0.02935181700740941,63
xyz.erupt.zeta-api-0.3.2-reduced.json,70,129,0.030774266022490337,63
xyz.erupt.zeta-api-0.3.2-reduced.json,80,189,0.03225847100839019,63
xyz.erupt.zeta-api-0.3.2-reduced.json,90,229,0.0335914810129907,63
xyz.erupt.zeta-api-0.3.2-reduced.json,100,257,0.037829345994396135,63
xyz.erupt.zeta-api-0.3.2-reduced.json,110,415,0.04357644999981858,63
xyz.erupt.zeta-api-0.3.2-reduced.json,120,625,0.047958576993551105,63
xyz.erupt.zeta-api-0.3.2-reduced.json,130,905,0.05159669500426389,63
xyz.erupt.zeta-api-0.3.2-reduced.json,140,1286,0.05687263098661788,63
xyz.erupt.zeta-api-0.3.2-reduced.json,150,1789,0.06451237498549744,63
xyz.erupt.zeta-api-0.3.2-reduced.json,160,2385,0.0732898710120935,63
xyz.erupt.zeta-api-0.3.2-reduced.json,170,2768,0.07783763000043109,63
xyz.erupt.zeta-api-0.3.2-reduced.json,180,3153,0.08220995200099424,63
xyz.erupt.zeta-api-0.3.2-reduced.json,190,3593,0.08761738799512386,63
xyz.erupt.zeta-api-0.3.2-reduced.json,200,4044,0.09305330400820822,63
